Target_Bandgap_eV,ML_MAE_eV,PCE_Current,PCE_Future,Percent_SQ_Current,Percent_SQ_Future,LCOE_Penalty_Current,LCOE_Penalty_Future
1.55000,0.27500,0.20935,0.25521,67.20759,81.92897,0.00382,0.00109
1.60417,0.27500,0.20540,0.25038,68.21026,83.14790,0.00280,0.00066
1.65833,0.27500,0.19866,0.24221,68.56096,83.59251,0.00203,0.00053
1.71250,0.27500,0.19263,0.23322,69.26080,83.85342,0.00122,0.00043
1.76667,0.27500,0.18416,0.22466,69.31983,84.56394,0.00098,0.00018
1.82083,0.27500,0.17745,0.21377,70.08119,84.42507,0.00000,0.00019
1.87500,0.27500,0.16888,0.20480,70.14592,85.06884,0.00000,0.00000
1.92917,0.27500,0.15977,0.19468,69.89676,85.16634,0.00026,0.00003
1.98333,0.27500,0.15261,0.18455,70.43545,85.17659,0.00000,0.00000
2.03750,0.27500,0.14266,0.17411,69.67611,85.03619,0.00000,0.00000
2.09167,0.27500,0.13596,0.16439,70.50537,85.24924,0.00000,0.00000
2.14583,0.27500,0.12692,0.15415,69.97659,84.98873,0.00024,0.00000
2.20000,0.27500,0.11895,0.14449,69.97062,84.99472,0.00000,0.00000
0.90000,0.30000,0.10385,0.12515,71.62120,86.30980,0.00000,0.00000
0.95417,0.30000,0.13761,0.16758,69.09210,84.14111,0.00111,0.00019
1.00833,0.30000,0.16935,0.20535,67.85347,82.27591,0.00433,0.00102
1.06250,0.30000,0.18809,0.22855,67.32431,81.80734,0.00412,0.00135
1.11667,0.30000,0.19905,0.24311,65.33471,79.79700,0.00657,0.00186
1.17083,0.30000,0.20508,0.25174,64.11938,78.70986,0.00801,0.00206
1.22500,0.30000,0.20913,0.25557,63.37161,77.44683,0.00831,0.00230
1.27917,0.30000,0.21163,0.25770,63.29911,77.07916,0.00821,0.00241
1.33333,0.30000,0.21227,0.26015,63.01912,77.23376,0.00818,0.00221
1.38750,0.30000,0.21287,0.25947,63.61595,77.54183,0.00783,0.00209
1.44167,0.30000,0.21240,0.25860,64.64100,78.70206,0.00659,0.00184
1.49583,0.30000,0.21015,0.25710,65.35637,79.95993,0.00601,0.00156
1.55000,0.30000,0.20645,0.25253,66.27513,81.06935,0.00487,0.00130
1.60417,0.30000,0.20221,0.24795,67.15280,82.34235,0.00382,0.00088
1.65833,0.30000,0.19847,0.24148,68.49698,83.34098,0.00255,0.00066
1.71250,0.30000,0.19188,0.23422,68.99075,84.21481,0.00168,0.00038
1.76667,0.30000,0.18385,0.22383,69.20216,84.25120,0.00142,0.00028
1.82083,0.30000,0.17682,0.21535,69.83096,85.04800,0.00061,0.00004
1.87500,0.30000,0.16854,0.20455,70.00799,84.96350,0.00070,0.00008
1.92917,0.30000,0.16080,0.19395,70.34735,84.84682,0.00000,0.00005
1.98333,0.30000,0.15124,0.18425,69.80213,85.03879,0.00042,0.00000
2.03750,0.30000,0.14351,0.17358,70.09014,84.77853,0.00000,0.00009
2.09167,0.30000,0.13602,0.16369,70.53648,84.88626,0.00000,0.00005
2.14583,0.30000,0.12881,0.15440,71.01820,85.12749,0.00000,0.00000
2.20000,0.30000,0.11933,0.14450,70.19228,85.00220,0.00002,0.00000
0.90000,0.32500,0.10181,0.12716,70.21521,87.69544,0.00000,0.00000
0.95417,0.32500,0.13614,0.17033,68.35260,85.52216,0.00327,0.00000
1.00833,0.32500,0.16804,0.20699,67.32640,82.93453,0.00498,0.00088
1.06250,0.32500,0.18513,0.22760,66.26618,81.46798,0.00566,0.00148
1.11667,0.32500,0.19666,0.23920,64.55030,78.51267,0.00776,0.00208
1.17083,0.32500,0.20252,0.24826,63.31951,77.62101,0.00892,0.00236
1.22500,0.32500,0.20613,0.25310,62.46296,76.69777,0.00955,0.00259
1.27917,0.32500,0.20891,0.25566,62.48675,76.46851,0.00938,0.00249
1.33333,0.32500,0.20943,0.25632,62.17728,76.09651,0.00946,0.00265
1.38750,0.32500,0.21098,0.25604,63.04829,76.51596,0.00848,0.00247
1.44167,0.32500,0.20951,0.25632,63.76101,78.00785,0.00752,0.00209
1.49583,0.32500,0.20756,0.25316,64.55000,78.73167,0.00693,0.00182
